会員番号,Googleメール,GoogleID,名前,性別,年代,業種,職種,現在地,出身地,自己紹介,こんな人と繋がりたい,こんな人とは繋がりたくない,タグ,プロフィール画像URL,LINE,Instagram,X,YouTube,掲載中,社長マーク,社長マーク状態,オンライン状態,掲載日,登録日時,更新日時,最終ログイン日時
00020,user00020@example.com,google-sub-00020,清水花,女性,60代,その他,その他,神奈川県,佐賀県,その他で活動するその他の清水花です。会員No.00020として交流を楽しみにしています。,その他や関連分野で協業できる方,一方的な営業のみの方,"その,その他,神奈川",https://i.pravatar.cc/150?img=20,https://line.me/,,,,TRUE,FALSE,なし,オフライン,2026-05-28 05:00:00,2026-05-06 05:00:00,2026-05-29 16:00:00,2026-05-29 16:00:00
00021,user00021@example.com,google-sub-00021,阿部剛,男性,20代,サービス業,経営者,埼玉県,新潟県,サービス業で活動する経営者の阿部剛です。会員No.00021として交流を楽しみにしています。,サービス業や関連分野で協業できる方,一方的な営業のみの方,"サー,経営者,埼玉",https://i.pravatar.cc/150?img=21,,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オンライン,2026-07-06 15:00:00,2026-06-10 15:00:00,2026-07-06 18:00:00,2026-07-06 18:00:00
00022,user00022@example.com,google-sub-00022,池田美穂,女性,30代,美容・健康,代表取締役,千葉県,東京都,美容・健康で活動する代表取締役の池田美穂です。会員No.00022として交流を楽しみにしています。,美容・健康や関連分野で協業できる方,一方的な営業のみの方,"美容,代表取締役,千葉",https://i.pravatar.cc/150?img=22,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-07-06 00:00:00,2026-06-11 00:00:00,2026-07-06 20:00:00,2026-07-06 20:00:00
00023,user00023@example.com,google-sub-00023,森智也,男性,40代,建設・不動産,CEO,愛知県,千葉県,建設・不動産で活動するCEOの森智也です。会員No.00023として交流を楽しみにしています。,建設・不動産や関連分野で協業できる方,一方的な営業のみの方,"建設,CEO,愛知",https://i.pravatar.cc/150?img=23,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-05-28 23:00:00,2026-05-22 23:00:00,2026-05-30 11:00:00,2026-05-30 11:00:00
00024,user00024@example.com,google-sub-00024,橋本結衣,女性,50代,飲食・サービス,サロンオーナー,大阪府,京都府,飲食・サービスで活動するサロンオーナーの橋本結衣です。会員No.00024として交流を楽しみにしています。,飲食・サービスや関連分野で協業できる方,一方的な営業のみの方,"飲食,サロンオーナー,大阪",https://i.pravatar.cc/150?img=24,,,https://x.com/,https://youtube.com/,TRUE,FALSE,なし,オフライン,2026-06-04 05:00:00,2026-05-20 05:00:00,2026-06-05 06:00:00,2026-06-05 06:00:00
00025,user00025@example.com,google-sub-00025,山下蓮,男性,60代,製造業,専務取締役,京都府,福岡県,製造業で活動する専務取締役の山下蓮です。会員No.00025として交流を楽しみにしています。,製造業や関連分野で協業できる方,一方的な営業のみの方,"製造,専務取締役,京",https://i.pravatar.cc/150?img=25,https://line.me/,https://instagram.com/,,,TRUE,FALSE,なし,オフライン,2026-06-13 17:00:00,2026-06-09 17:00:00,2026-06-14 08:00:00,2026-06-14 08:00:00
00026,user00026@example.com,google-sub-00026,石川陽菜,女性,20代,IT・通信,工場長,兵庫県,静岡県,IT・通信で活動する工場長の石川陽菜です。会員No.00026として交流を楽しみにしています。,IT・通信や関連分野で協業できる方,一方的な営業のみの方,"IT,工場長,兵庫",https://i.pravatar.cc/150?img=26,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-04-24 17:00:00,2026-04-01 17:00:00,2026-04-26 06:00:00,2026-04-26 06:00:00
00027,user00027@example.com,google-sub-00027,中島悠人,男性,30代,小売,部長,広島県,宮城県,小売で活動する部長の中島悠人です。会員No.00027として交流を楽しみにしています。,小売や関連分野で協業できる方,一方的な営業のみの方,"小売,部長,広島",https://i.pravatar.cc/150?img=27,,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-04-18 13:00:00,2026-04-07 13:00:00,2026-04-19 03:00:00,2026-04-19 03:00:00
00028,user00028@example.com,google-sub-00028,前田真由,女性,40代,教育,個人事業主,福岡県,埼玉県,教育で活動する個人事業主の前田真由です。会員No.00028として交流を楽しみにしています。,教育や関連分野で協業できる方,一方的な営業のみの方,"教育,個人事業主,福岡",https://i.pravatar.cc/150?img=28,https://line.me/,,https://x.com/,,TRUE,FALSE,なし,オンライン,2026-04-27 10:00:00,2026-04-25 10:00:00,2026-04-29 10:00:00,2026-04-29 10:00:00
00029,user00029@example.com,google-sub-00029,藤田健太,男性,50代,医療・福祉,フリーランス,佐賀県,大阪府,医療・福祉で活動するフリーランスの藤田健太です。会員No.00029として交流を楽しみにしています。,医療・福祉や関連分野で協業できる方,一方的な営業のみの方,"医療,フリーランス,佐賀",https://i.pravatar.cc/150?img=29,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-03-13 22:00:00,2026-03-09 22:00:00,2026-03-15 14:00:00,2026-03-15 14:00:00
00030,user00030@example.com,google-sub-00030,岡田愛,女性,60代,その他,その他,沖縄県,広島県,その他で活動するその他の岡田愛です。会員No.00030として交流を楽しみにしています。,その他や関連分野で協業できる方,一方的な営業のみの方,"その,その他,沖縄",https://i.pravatar.cc/150?img=30,,https://instagram.com/,,https://youtube.com/,FALSE,FALSE,なし,オフライン,2026-03-22 12:00:00,2026-03-03 12:00:00,2026-03-22 16:00:00,2026-03-03 12:00:00
00031,user00031@example.com,google-sub-00031,後藤智也,男性,20代,サービス業,経営者,静岡県,沖縄県,サービス業で活動する経営者の後藤智也です。会員No.00031として交流を楽しみにしています。,サービス業や関連分野で協業できる方,一方的な営業のみの方,"サー,経営者,静岡",https://i.pravatar.cc/150?img=31,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-07-08 06:00:00,2026-06-24 06:00:00,2026-07-09 15:00:00,2026-07-09 15:00:00
00032,user00032@example.com,google-sub-00032,長谷川奈々,女性,30代,美容・健康,代表取締役,新潟県,北海道,美容・健康で活動する代表取締役の長谷川奈々です。会員No.00032として交流を楽しみにしています。,美容・健康や関連分野で協業できる方,一方的な営業のみの方,"美容,代表取締役,新潟",https://i.pravatar.cc/150?img=32,https://line.me/,,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-07-08 01:00:00,2026-06-17 01:00:00,2026-07-09 23:00:00,2026-07-09 23:00:00
00033,user00033@example.com,google-sub-00033,石井翔太,男性,40代,建設・不動産,CEO,北海道,神奈川県,建設・不動産で活動するCEOの石井翔太です。会員No.00033として交流を楽しみにしています。,建設・不動産や関連分野で協業できる方,一方的な営業のみの方,"建設,CEO,北海道",https://i.pravatar.cc/150?img=33,,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-04-05 08:00:00,2026-03-12 08:00:00,2026-04-06 01:00:00,2026-04-06 01:00:00
00034,user00034@example.com,google-sub-00034,村上結衣,女性,50代,飲食・サービス,サロンオーナー,宮城県,愛知県,飲食・サービスで活動するサロンオーナーの村上結衣です。会員No.00034として交流を楽しみにしています。,飲食・サービスや関連分野で協業できる方,一方的な営業のみの方,"飲食,サロンオーナー,宮城",https://i.pravatar.cc/150?img=34,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-06-17 16:00:00,2026-06-04 16:00:00,2026-06-18 02:00:00,2026-06-18 02:00:00
00035,user00035@example.com,google-sub-00035,近藤蓮,男性,60代,製造業,専務取締役,東京都,兵庫県,製造業で活動する専務取締役の近藤蓮です。会員No.00035として交流を楽しみにしています。,製造業や関連分野で協業できる方,一方的な営業のみの方,"製造,専務取締役,東京",https://i.pravatar.cc/150?img=35,https://line.me/,https://instagram.com/,,,TRUE,FALSE,なし,オンライン,2026-07-01 17:00:00,2026-06-15 17:00:00,2026-07-03 17:00:00,2026-07-03 17:00:00
00036,user00036@example.com,google-sub-00036,坂本愛,女性,20代,IT・通信,工場長,神奈川県,佐賀県,IT・通信で活動する工場長の坂本愛です。会員No.00036として交流を楽しみにしています。,IT・通信や関連分野で協業できる方,一方的な営業のみの方,"IT,工場長,神奈川",https://i.pravatar.cc/150?img=36,,,https://x.com/,https://youtube.com/,TRUE,FALSE,なし,オフライン,2026-04-28 22:00:00,2026-04-01 22:00:00,2026-04-30 14:00:00,2026-04-30 14:00:00
00037,user00037@example.com,google-sub-00037,遠藤裕介,男性,30代,小売,部長,埼玉県,新潟県,小売で活動する部長の遠藤裕介です。会員No.00037として交流を楽しみにしています。,小売や関連分野で協業できる方,一方的な営業のみの方,"小売,部長,埼玉",https://i.pravatar.cc/150?img=37,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-03-16 05:00:00,2026-02-28 05:00:00,2026-03-17 19:00:00,2026-03-17 19:00:00
00038,user00038@example.com,google-sub-00038,青木優子,女性,40代,教育,個人事業主,千葉県,東京都,教育で活動する個人事業主の青木優子です。会員No.00038として交流を楽しみにしています。,教育や関連分野で協業できる方,一方的な営業のみの方,"教育,個人事業主,千葉",https://i.pravatar.cc/150?img=38,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-06-12 14:00:00,2026-05-19 14:00:00,2026-06-13 00:00:00,2026-06-13 00:00:00
00039,user00039@example.com,google-sub-00039,藤井蒼,男性,50代,医療・福祉,フリーランス,愛知県,千葉県,医療・福祉で活動するフリーランスの藤井蒼です。会員No.00039として交流を楽しみにしています。,医療・福祉や関連分野で協業できる方,一方的な営業のみの方,"医療,フリーランス,愛知",https://i.pravatar.cc/150?img=39,,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-03-24 09:00:00,2026-02-23 09:00:00,2026-03-24 09:00:00,2026-03-24 09:00:00
00040,user00040@example.com,google-sub-00040,西村美羽,女性,60代,その他,その他,大阪府,京都府,その他で活動するその他の西村美羽です。会員No.00040として交流を楽しみにしています。,その他や関連分野で協業できる方,一方的な営業のみの方,"その,その他,大阪",https://i.pravatar.cc/150?img=40,https://line.me/,,,,TRUE,FALSE,なし,オフライン,2026-05-21 10:00:00,2026-05-21 10:00:00,2026-05-21 17:00:00,2026-05-21 17:00:00
00041,user00041@example.com,google-sub-00041,福田達也,男性,20代,サービス業,経営者,京都府,福岡県,サービス業で活動する経営者の福田達也です。会員No.00041として交流を楽しみにしています。,サービス業や関連分野で協業できる方,一方的な営業のみの方,"サー,経営者,京",https://i.pravatar.cc/150?img=41,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-07-05 16:00:00,2026-06-28 16:00:00,2026-07-05 19:00:00,2026-07-05 19:00:00
00042,user00042@example.com,google-sub-00042,太田美穂,女性,30代,美容・健康,代表取締役,兵庫県,静岡県,美容・健康で活動する代表取締役の太田美穂です。会員No.00042として交流を楽しみにしています。,美容・健康や関連分野で協業できる方,一方的な営業のみの方,"美容,代表取締役,兵庫",https://i.pravatar.cc/150?img=42,,https://instagram.com/,https://x.com/,https://youtube.com/,TRUE,FALSE,なし,オンライン,2026-07-07 23:00:00,2026-07-05 23:00:00,2026-07-09 21:00:00,2026-07-09 21:00:00
00043,user00043@example.com,google-sub-00043,三浦陽翔,男性,40代,建設・不動産,CEO,広島県,宮城県,建設・不動産で活動するCEOの三浦陽翔です。会員No.00043として交流を楽しみにしています。,建設・不動産や関連分野で協業できる方,一方的な営業のみの方,"建設,CEO,広島",https://i.pravatar.cc/150?img=43,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-03-19 23:00:00,2026-02-23 23:00:00,2026-03-21 09:00:00,2026-03-21 09:00:00
00044,user00044@example.com,google-sub-00044,岡本真由,女性,50代,飲食・サービス,サロンオーナー,福岡県,埼玉県,飲食・サービスで活動するサロンオーナーの岡本真由です。会員No.00044として交流を楽しみにしています。,飲食・サービスや関連分野で協業できる方,一方的な営業のみの方,"飲食,サロンオーナー,福岡",https://i.pravatar.cc/150?img=44,https://line.me/,,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-06-15 10:00:00,2026-05-16 10:00:00,2026-06-16 21:00:00,2026-06-16 21:00:00
00045,user00045@example.com,google-sub-00045,松田直樹,男性,60代,製造業,専務取締役,佐賀県,大阪府,製造業で活動する専務取締役の松田直樹です。会員No.00045として交流を楽しみにしています。,製造業や関連分野で協業できる方,一方的な営業のみの方,"製造,専務取締役,佐賀",https://i.pravatar.cc/150?img=45,,https://instagram.com/,,,TRUE,FALSE,なし,オフライン,2026-05-29 09:00:00,2026-05-02 09:00:00,2026-05-30 23:00:00,2026-05-30 23:00:00
00046,user00046@example.com,google-sub-00046,中川凛,女性,20代,IT・通信,工場長,沖縄県,広島県,IT・通信で活動する工場長の中川凛です。会員No.00046として交流を楽しみにしています。,IT・通信や関連分野で協業できる方,一方的な営業のみの方,"IT,工場長,沖縄",https://i.pravatar.cc/150?img=46,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-06-04 08:00:00,2026-05-11 08:00:00,2026-06-06 06:00:00,2026-06-06 06:00:00
00047,user00047@example.com,google-sub-00047,中野誠,男性,30代,小売,部長,静岡県,沖縄県,小売で活動する部長の中野誠です。会員No.00047として交流を楽しみにしています。,小売や関連分野で協業できる方,一方的な営業のみの方,"小売,部長,静岡",https://i.pravatar.cc/150?img=47,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-04-01 16:00:00,2026-03-20 16:00:00,2026-04-03 10:00:00,2026-04-03 10:00:00
00048,user00048@example.com,google-sub-00048,原田美月,女性,40代,教育,個人事業主,新潟県,北海道,教育で活動する個人事業主の原田美月です。会員No.00048として交流を楽しみにしています。,教育や関連分野で協業できる方,一方的な営業のみの方,"教育,個人事業主,新潟",https://i.pravatar.cc/150?img=48,,,https://x.com/,https://youtube.com/,TRUE,FALSE,なし,オフライン,2026-05-06 09:00:00,2026-04-22 09:00:00,2026-05-06 16:00:00,2026-05-06 16:00:00
00049,user00049@example.com,google-sub-00049,小野剛,男性,50代,医療・福祉,フリーランス,北海道,神奈川県,医療・福祉で活動するフリーランスの小野剛です。会員No.00049として交流を楽しみにしています。,医療・福祉や関連分野で協業できる方,一方的な営業のみの方,"医療,フリーランス,北海道",https://i.pravatar.cc/150?img=49,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オンライン,2026-06-03 23:00:00,2026-05-24 23:00:00,2026-06-04 00:00:00,2026-06-04 00:00:00
00050,user00050@example.com,google-sub-00050,田村莉子,女性,60代,その他,その他,宮城県,愛知県,その他で活動するその他の田村莉子です。会員No.00050として交流を楽しみにしています。,その他や関連分野で協業できる方,一方的な営業のみの方,"その,その他,宮城",https://i.pravatar.cc/150?img=50,https://line.me/,https://instagram.com/,,,TRUE,FALSE,なし,オフライン,2026-04-22 18:00:00,2026-04-04 18:00:00,2026-04-23 08:00:00,2026-04-23 08:00:00
00051,user00051@example.com,google-sub-00051,竹内太郎,男性,20代,サービス業,経営者,東京都,兵庫県,サービス業で活動する経営者の竹内太郎です。会員No.00051として交流を楽しみにしています。,サービス業や関連分野で協業できる方,一方的な営業のみの方,"サー,経営者,東京",https://i.pravatar.cc/150?img=51,,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-07-11 05:00:00,2026-07-10 05:00:00,2026-07-11 19:00:00,2026-07-11 19:00:00
00052,user00052@example.com,google-sub-00052,金子恵,女性,30代,美容・健康,代表取締役,神奈川県,佐賀県,美容・健康で活動する代表取締役の金子恵です。会員No.00052として交流を楽しみにしています。,美容・健康や関連分野で協業できる方,一方的な営業のみの方,"美容,代表取締役,神奈川",https://i.pravatar.cc/150?img=52,https://line.me/,,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-07-11 15:00:00,2026-07-09 15:00:00,2026-07-12 23:00:00,2026-07-12 23:00:00
00053,user00053@example.com,google-sub-00053,和田剛,男性,40代,建設・不動産,CEO,埼玉県,新潟県,建設・不動産で活動するCEOの和田剛です。会員No.00053として交流を楽しみにしています。,建設・不動産や関連分野で協業できる方,一方的な営業のみの方,"建設,CEO,埼玉",https://i.pravatar.cc/150?img=53,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-05-27 10:00:00,2026-05-21 10:00:00,2026-05-28 20:00:00,2026-05-28 20:00:00
00054,user00054@example.com,google-sub-00054,中山真由,女性,50代,飲食・サービス,サロンオーナー,千葉県,東京都,飲食・サービスで活動するサロンオーナーの中山真由です。会員No.00054として交流を楽しみにしています。,飲食・サービスや関連分野で協業できる方,一方的な営業のみの方,"飲食,サロンオーナー,千葉",https://i.pravatar.cc/150?img=54,,https://instagram.com/,https://x.com/,https://youtube.com/,TRUE,FALSE,なし,オフライン,2026-03-31 07:00:00,2026-03-13 07:00:00,2026-04-01 13:00:00,2026-04-01 13:00:00
00055,user00055@example.com,google-sub-00055,石田剛,男性,60代,製造業,専務取締役,愛知県,千葉県,製造業で活動する専務取締役の石田剛です。会員No.00055として交流を楽しみにしています。,製造業や関連分野で協業できる方,一方的な営業のみの方,"製造,専務取締役,愛知",https://i.pravatar.cc/150?img=55,https://line.me/,https://instagram.com/,,,TRUE,FALSE,なし,オフライン,2026-03-23 10:00:00,2026-02-26 10:00:00,2026-03-24 12:00:00,2026-03-24 12:00:00
00056,user00056@example.com,google-sub-00056,上田優子,女性,20代,IT・通信,工場長,大阪府,京都府,IT・通信で活動する工場長の上田優子です。会員No.00056として交流を楽しみにしています。,IT・通信や関連分野で協業できる方,一方的な営業のみの方,"IT,工場長,大阪",https://i.pravatar.cc/150?img=56,https://line.me/,,https://x.com/,,TRUE,FALSE,なし,オンライン,2026-06-19 22:00:00,2026-05-29 22:00:00,2026-06-21 01:00:00,2026-06-21 01:00:00
00057,user00057@example.com,google-sub-00057,森田達也,男性,30代,小売,部長,京都府,福岡県,小売で活動する部長の森田達也です。会員No.00057として交流を楽しみにしています。,小売や関連分野で協業できる方,一方的な営業のみの方,"小売,部長,京",https://i.pravatar.cc/150?img=57,,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-05-08 12:00:00,2026-04-24 12:00:00,2026-05-10 10:00:00,2026-05-10 10:00:00
